num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1,position
114,6.44,4431.164,2648.7931,2.892058337404462,-16.35225256768406,-13.460194230279601,1099.99,1098.91,1098,7.26,0,0,-38.39999999999999,1098.39,1098.84,0
115,37.739999999999995,29016.01490000001,12458.322499999998,90.76666798363983,-25.677519580559927,65.0891484030799,1099.59,1098.05,0,0,0,0,-41.489999999999995,1097.09,1097.64,-1
116,27.78,9706.953700000002,20788.467199999996,89.3378768941548,-126.78912004514164,-37.451243150986826,1098.48,1097.01,0,0,0,0,19.06,1097.02,1097.74,0
117,9.209999999999999,4347.4608,5760.106599999999,20.779396749855064,-98.38082610093767,-77.60142935108263,1098.05,1097.02,0,0,0,0,-22.32,1097.01,1097.75,0
118,23.509999999999998,8806.4446,16997.1986,46.72973886727944,-73.58788083052113,-26.85814196324171,1098.76,1097.01,0,0,0,0,46.07000000000001,1097.4,1097.93,0
119,19.75,18324.9226,3373.833,68.28303308334769,-2.367647058839321,65.91538602450836,1100.38,1097.39,0,0,0,0,46.55,1098.29,1098.51,0
120,6.2,3031.6184,3778.3546,8.189276485786886,-59.55772854595965,-51.36845206017276,1099.28,1097.82,1097.13,9.49,0,0,-50.269999999999996,1097.54,1098.21,0
121,8.21,6226.9723,2788.4188,5.65969741523241,-26.49064171123471,-20.8309442960023,1098.63,1097.49,1097.13,9.49,0,0,26.340000000000003,1097.86,1098.19,0
122,10.660000000000002,6588.77,5116.165599999999,30.320306278382834,-9.580761033510246,20.739545244872588,1098.64,1097.41,0,0,0,0,-51.03,1097.13,1097.21,0
123,25.300000000000004,9231.4321,18531.786500000002,10.864152890204135,31.470738429076437,42.33489131928057,1098.7,1097,0,0,0,0,38.67,1097.59,1097.76,0
124,6.35,4151.6954,2823.5204999999996,18.09543345543384,-5.286207664884425,12.809225790549418,1099.13,1097.59,0,0,0,0,32.93,1098.81,1099.2,0
125,12.11,6103.1962,7208.731999999999,17.630612919057334,-7.563196925195254,10.06741599386208,1099.98,1098.8,0,0,0,0,34.72,1100.08,1100.66,0
126,29.040000000000003,5948.4256,25980.512699999992,34.029656703754604,-48.33278749812682,-14.303130794372223,1100.87,1098.15,0,0,0,0,-56.87,1098.22,1098.77,0
127,5.2299999999999995,2944.7747,2801.6702,56.30571518930887,-1.6236655039373742,54.6820496853715,1100,1098.2,0,0,0,0,40.33,1098.99,1099.88,0
128,11.99,9256.775799999998,3940.3314000000005,21.807133445749603,3.9264005602217757,25.733534005971386,1101.85,1099.37,0,0,0,0,40.510000000000005,1101.38,1102,0
129,8.82,2630.9901,7076.9645,2.188793103448572,-19.44685294117661,-17.258059837728034,1101.38,1100.14,0,0,0,0,-44.7,1098.82,1099.39,0
130,14.73,10170.9996,6023.9041,6.223330980768889,-51.2073869448212,-44.984055964052324,1100.08,1098.82,0,0,0,0,43.52,1099.45,1099.79,0
131,8.280000000000001,1319.7476999999997,7782.983700000001,5.879999999996446,-0.9667871786993901,4.913212821297056,1099.96,1099.17,0,0,0,0,-43.11,1099.19,1099.52,0
132,2.18,1682.5467,714.5995,5.846405228758537,-0.5555555555555556,5.290849673202982,1099.73,1099.19,1099.05,2.4,1100.11,3.52,44.02,1099.31,1099.74,0
133,6.7,5444.2024,1925.1598,9.215777245479117,6.135947712419344,15.35172495789846,1100.97,1099.26,0,0,0,0,40.11999999999999,1100.05,1100.83,0
134,7.7700000000000005,2893.2901999999995,5653.697600000001,2.5255907760393628,-20.720450464568998,-18.194859688529633,1100.83,1099.46,1099,10.84,0,0,-44.959999999999994,1099.45,1099.96,0
135,18.86,17602.771300000004,3158.8759000000005,103.40908426935682,-3.2647058823548765,100.14437838700195,1102,1099.45,0,0,0,0,38.33999999999999,1101.66,1102.31,0
136,18.94,16538.231699999997,4343.8502,8.330206140837,-5.990254505566523,2.339951635270475,1102.88,1101.81,0,0,0,0,-29.619999999999997,1101.57,1102.31,0
137,1,44.0784,1057.4148,-0.24999999999977263,-7.267543859653882,-7.517543859653655,1101.97,1101.32,1099.84,2.32,1100.46,1.5,-44.51,1100,1100.09,0
138,6.51,5545.6096,1616.8270000000002,-10.18451571378625,-30.29542483659106,-40.47994055037731,1100.58,1099.53,1099,7.21,0,0,-53.09999999999999,1099.27,1099.95,0
139,8.47,4959.436699999999,4352.951899999999,5.984092639003406,-12.124479865649818,-6.140387226646411,1099.95,1099.02,0,0,0,0,-31.960000000000008,1099.01,1099.06,0
140,20.38,12589.206100000001,9814.1172,9.357164067458,0.20500102480051874,9.562165092258518,1099.74,1098.68,0,0,0,0,34.919999999999995,1099.17,1099.72,0
141,9.84,5718.4256000000005,5099.795700000001,-17.756852804225773,-3.9598969276154565,-21.71674973184123,1099.72,1098.63,0,0,0,0,-45.529999999999994,1098.21,1098.89,0
142,4.51,4505.0497000000005,450.57550000000003,31.517057732304924,-14.115384615386063,17.40167311691886,1099.39,1098.21,0,0,1100,4.74,53.959999999999994,1098.69,1099.4,0
143,10.02,8986.5796,2033.8836000000001,2.4799448146516445,-3.0807236563694524,-0.6007788417178075,1100.19,1099.2,0,0,0,0,48.81,1100.21,1101.05,1
144,16.66,14333.4699,4021.6454000000003,67.02579583440756,-24.472167772166138,42.55362806224141,1102.48,1100.19,0,0,0,0,41.63999999999999,1101.7,1102.22,1
145,13.399999999999999,13018.6304,1751.6500999999998,16.164873092199514,-3.3452380952355076,12.819634996964005,1102.8,1101.48,0,0,0,0,40.84,1102.68,1102.82,1
146,6.13,4644.3401,2117.5744000000004,71.92046763817548,-55.79090909090761,16.129558547267862,1103.47,1102.82,1102.82,20,0,0,48.96,1103.02,1103.45,1
147,38.7,24699.732099999994,18023.7628,35.643209628691814,-13.191431721780884,22.451777906910937,1104.79,1103.42,0,0,0,0,38.14,1105.16,1105.87,1
148,68.06000000000003,65836.47729999995,9416.5038,155.26198127959415,-9.011624681358786,146.2503565982354,1107.42,1103.21,0,0,0,0,41.389999999999986,1106.73,1107.03,1
149,10.79,5688.637699999999,6252.0524000000005,19.229582813165226,-116.2150946035327,-96.98551179036747,1107.26,1105.56,0,0,0,0,-47.67999999999999,1105.6,1105.95,0
150,8.81,5321.179399999999,4423.6050000000005,10.518973669196118,-2.2799999999997453,8.238973669196373,1106.72,1105.59,0,0,0,0,47.39999999999999,1106.3,1106.8,0
151,30.760000000000005,25699.8166,8373.8243,139.18430200479767,-169.92533345294387,-30.74103144814625,1108.8,1106.3,0,0,0,0,40.76,1107.43,1107.82,0
152,15.02,2280.9002,14346.932599999998,3.3813637604213054,-2.5240864490450163,0.8572773113762883,1108.15,1106.14,0,0,0,0,-43.63,1105.94,1106.61,0
153,11.34,10330.729500000001,2224.3658,137.0191805321379,-5.239999999999631,131.7791805321383,1108.19,1105.92,0,0,0,0,40.169999999999995,1107.59,1108.19,0
154,2.5600000000000005,288.2016,2548.1024,14.23611111111206,-3.1133333333386117,11.122777777773447,1108.65,1107.42,1108.29,2.67,0,0,48.27000000000001,1108.29,1108.8,0
155,14.370000000000001,6398.2128999999995,9533.4404,116.43932616670072,-16.513859626702178,99.92546653999855,1109.14,1108.28,0,0,0,0,35.25,1108.59,1109.19,0
156,35.85999999999999,11541.871799999997,28199.172800000004,66.52832250786017,-74.76442134977339,-8.236098841913151,1109.68,1107.67,0,0,0,0,24.129999999999995,1109.37,1109.68,0
157,29.17000000000001,27565.249700000004,4816.4913,46.285104104927406,-5.918752323900006,40.366351781027404,1111.23,1108.65,0,0,0,0,43.31999999999999,1111,1111.31,0
158,5.77,3757.6740000000004,2656.4707000000003,163.68427012054562,-105.27999999999975,58.404270120545874,1112.46,1110.98,0,0,0,0,-15.739999999999998,1110.53,1111.23,0
159,39.60000000000001,10272.428199999998,33744.58180000001,57.181623091628836,-82.27691204497395,-25.095288953345136,1112.4,1110.64,0,0,0,0,-4.830000000000002,1110.96,1111.5,0
160,16.659999999999997,12238.460399999998,6277.5689,32.90373889770099,-52.316268567739996,-19.412529670038996,1112.08,1110.79,0,0,0,0,39.93000000000001,1111.51,1112.13,0
