num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1
20155,0.21000000000000002,240.82889999999998,0,6.75000000000523,0,6.75000000000523,1146.85,1146.61,1145.82,0.32,1146.62,1.2,-0.6200000000000006,1145.84,1146.61
20156,0.8300000000000001,492.73290000000003,458.3012,0.6707317073170177,-7.005036630033101,-6.334304922716083,1145.9,1145.64,1145.05,1.42,1145.54,2.38,-38.31,1145.06,1145.23
20157,44.58999999999999,3476.1857999999997,47536.72029999999,-0.9961389961380902,-69.8568479135376,-70.85298690967569,1145.37,1143.21,0,0,0,0,-34.489999999999995,1143.43,1143.48
20158,11.24,10967.732199999999,1886.7235,10.432672318423956,-0.5999999999994543,9.832672318424502,1144.01,1143.43,0,0,0,0,32.839999999999996,1143.52,1144.12
20159,0,0,0,0,0,0,0,1000000,1143.44,0.03,1143.49,1.08,-37.24,1143.44,1143.49
20160,2.01,2241.1789,57.171800000000005,15.01052631578719,-0.49999999999954525,14.510526315787645,1143.78,1143.43,0,0,1143.47,3.29,-31.930000000000007,1142.85,1143.05
20161,13.209999999999996,2663.3932,12434.7894,15.771560559001657,-12.232303155111747,3.5392574038899083,1143.5,1142.35,0,0,0,0,20.040000000000006,1142.85,1142.97
20162,31.340000000000007,7003.136100000001,28784.393399999994,22.588701698632704,-61.84231467236312,-39.25361297373044,1143.46,1141.11,0,0,0,0,-43.489999999999995,1141.38,1141.76
20163,12.82,14639.846099999999,0,9.031469899506602,0,9.031469899506602,1142.53,1141.72,0,0,0,0,47.29999999999999,1141.86,1142.8
20164,3.5399999999999996,4033.4264000000003,11.4275,-10.972329059828548,0,-10.972329059828548,1142.75,1142.05,0,0,0,0,-22.440000000000005,1142.12,1142.14
20165,1.73,1747.4867,228.49,0.007999999999992725,1.4999999999997726,1.5079999999997653,1142.45,1142.14,1141.5,1.74,1143.17,2.34,38.59,1142.37,1142.6
20166,2.06,1371.0982999999999,982.4534,-0.18591549295700896,-0.23106060606074041,-0.41697609901774946,1142.61,1142.28,0,0,1143.24,2.67,25.939999999999998,1142.35,1143.19
20167,3.5,3999.4698,0,6.888127294975164,0,6.888127294975164,1143.22,1142.64,0,0,0,0,5.059999999999999,1142.79,1142.88
20168,0.78,891.9083,0,-20.053479853475725,0,-20.053479853475725,1143.58,1142.81,1142.63,0.92,1143.6,2.61,-5.31,1142.78,1143
20169,1,1143.4326999999998,0,1.515750915750703,0,1.515750915750703,1143.59,1143,1141.82,1.68,1143.55,1.07,4.61,1142.94,1143.14
20170,9.43,491.5061999999999,10287.0376,3.3749999999997726,-0.9236389994928635,2.451361000506909,1143.11,1142.81,0,0,0,0,-19.110000000000003,1142.67,1142.89
20171,1.55,1142.68,628.4439,0,-6.58055555555715,-6.58055555555715,1142.68,1142.44,1142,10,1143.69,3.58,12.410000000000002,1142.31,1142.73
20172,1.92,2193.2069,0,3.175070028015896,0,3.175070028015896,1142.4,1142.28,1142,10,1143.27,2.49,-12.12,1142.36,1142.37
20173,0.16999999999999998,125.66069999999999,68.54159999999999,0.09090909090900823,0,0.09090909090900823,1142.37,1142.36,1142.32,0.52,1142.98,0.32,-32.02,1142.39,1142.9
20174,0.4800000000000001,0,548.3249,0,-6.205648926246044,-6.205648926246044,1142.51,1142.28,1142.13,0.51,1142.3,0.75,-33.269999999999996,1142.28,1142.3
