num,amount,buyAmount,sellAmount,buySum,sellSum,startPrice,endPrice,buyMaxPrice,buyMinPrice,sellMaxPrice,sellMinPrice,maxPrice,minPrice,bestBidDepth,bestAskDepth
88,123.54099999999997,2.5479999999999996,120.99299999999997,3329.9825,158139.37776,1307.16,1306.64,1307.16,1306.65,1307.16,1306.64,1307.16,1306.64,471.47700000000003,175.044
89,100.30900000000001,66.73800000000001,33.571,87205.99798000001,43871.44749,1306.9,1306.99,1306.99,1306.65,1306.89,1306.64,1306.99,1306.64,204.959,128.65300000000002
90,95.22500000000001,94.43900000000001,0.786,123430.13135,1027.40491,1306.65,1307.19,1307.19,1306.65,1307.18,1306.99,1307.19,1306.65,311.388,153.882
91,76.171,73.649,2.5220000000000002,96263.49570999999,3296.66939,1306.99,1307.18,1307.19,1307,1307.18,1306.99,1307.19,1306.99,737.3039999999997,19.172
92,91.52400000000002,2.916,88.60800000000002,3811.60448,115816.53816000001,1307.19,1306.91,1307.19,1306.97,1307.18,1306.91,1307.19,1306.91,375.265,70.321
93,136.68900000000002,49.778000000000006,86.91100000000002,65055.162710000004,113598.24622,1307.18,1307.07,1307.07,1306.86,1307.18,1306.86,1307.18,1306.86,0,233.90999999999997
94,52.951,51.78,1.171,67671.91965000001,1530.56446,1306.86,1307.06,1307.07,1306.86,1307.06,1306.86,1307.07,1306.86,593.3829999999999,47.344
95,46.44500000000001,6.369,40.07600000000001,8324.08959,52376.6671,1307.07,1306.85,1307.07,1306.86,1307.06,1306.85,1307.07,1306.85,224.49999999999997,155.28
96,71.57300000000001,24.336000000000002,47.237,31803.75216,61734.78223,1307.06,1306.98,1306.98,1306.86,1307.06,1306.85,1307.06,1306.85,104.819,29.139
97,173.03899999999996,163.75899999999996,9.28,214047.76929000008,12127.898,1306.85,1307.54,1307.54,1306.86,1307.18,1306.85,1307.54,1306.85,914.1079999999998,452.09700000000004
98,150.95399999999995,148.79399999999995,2.16,194494.90455,2823.9148,1306.98,1307.53,1307.54,1306.98,1307.53,1307.18,1307.54,1306.98,721.2560000000001,38.729
99,18.836999999999996,8.802999999999999,10.033999999999999,11510.27462,13119.75602,1307.54,1307.53,1307.54,1307.54,1307.53,1307.53,1307.54,1307.53,154.254,26.493
100,350.21299999999997,91.769,258.44399999999996,119992.25188,337920.6809899999,1307.54,1307.13,1307.75,1307.13,1307.74,1307.12,1307.75,1307.12,642.904,234.53300000000004
101,344.837,88.177,256.65999999999997,115295.13810999999,335585.13728999987,1307.54,1307.12,1307.75,1307.13,1307.74,1307.12,1307.75,1307.12,89.866,534.7770000000002
102,49.33400000000001,42.16100000000001,7.172999999999999,55114.20965999999,9375.976239999998,1307.12,1307.5,1307.5,1307.13,1307.19,1307.12,1307.5,1307.12,171.763,286.20599999999996
103,121.10299999999998,120.38999999999999,0.7130000000000001,157421.72105999998,932.41741,1307.12,1307.92,1307.92,1307.13,1307.91,1307.12,1307.92,1307.12,1540.1609999999994,115.45299999999999
